location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
T Nagar,3,3,1400,1200,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,8220926
Keelkattalai,2,2,840,1135,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,North,5783338
Maduravayol,2,2,1060,800,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Tambaram,2,2,900,825,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Aminjikarai,3,1,1000,800,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,South,6798035
East Coast Road,1,1,550,550,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,South,2406982
Adambakkam,3,2,1272,1040,Individual,Resale,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,East,23500000
Ayanavaram,2,2,600,600,Individual,Resale,Above 20 years,Builder Floors,1,Unfurnished,Ready to Move,South,3593155
Pallavaram,2,2,700,576,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,3207974
Perambur,4,6,1200,1000,Individual,Resale,15 to 20 years,Builder Floors,2,Furnished,Ready to Move,North,7077166
Anbattur,2,2,655,1632,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,3207974
Alwarthiru Nagar,3,2,1300,850,Individual,Resale,10 to 15 years,Builder Floors,1,Unfurnished,Ready to Move,West,8220926
Singaperumal Koil,2,2,1665,750,Individual,New,5 to 10 years,Builder Floors,1,Unfurnished,Ready to Move,South,9168871
T Nagar,1,1,500,125,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,North,5668733
Porur,2,2,705,646,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,3207974
T Nagar,3,2,1800,9900,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,18004354
Sithalapakkam,2,2,694,600,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,3207974
Medavakkam,2,2,1137,890,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,5340967
Oragadam,3,3,1110,1349,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,6798035
Avadi,2,2,1400,500,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,8220926
Perubakkam,2,2,3381,988,Individual,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,28755605
Maduravayol,2,2,730,640,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,3207974
Kilpauk,3,3,963,1049,Individual,Resale,Under Construction,Builder Floors,2,Furnished,Under Construction,North,6798035
Adyar,3,3,1962,2450,Builder,New,New Construction,Builder Floors,4,Unfurnished,Ready to Move,North,8722378
Velachery,2,2,1150,925,Builder,New,Under Construction,Builder Floors,2,Unfurnished,Under Construction,East,5340967
Mangadu,2,2,633,530,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,North East,3207974
Urapakkam,1,1,505,450,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,3033039
Urapakkam,1,1,462,399,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,2600000
Poonamale Highway,2,2,652,19898,Individual,Resale,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,2700000
Anna Nagar,3,3,3000,1175,Individual,Resale,5 to 10 years,Builder Floors,2,Furnished,Ready to Move,North,28755605
Kolathur,2,2,1200,833,Individual,Resale,15 to 20 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5340967
Urapakkam,2,2,2475,640,Individual,New,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,South,480000
Ayanambakkam,2,2,810,800,Individual,Resale,New Construction,Builder Floors,2,Unfurnished,Ready to Move,North,5783338
P H Road,2,2,1120,930,Builder,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,5340967
Omr,3,2,1275,1041,Builder,New,Under Construction,Builder Floors,2,Unfurnished,Ready to Move,North,8220926
Triplicane,2,2,825,525,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,4421651
Omr,2,2,1012,81500,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Urapakkam,2,2,680,640,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,3207974
Tambaram Mudichur Road,3,2,1170,828,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,6798035
Medavakkam,2,2,890,890,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,5783338
Nolambur,3,3,1372,1285,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,West,8220926
Madipakkam,2,2,1111,592,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,West,5340967
Ambattur,2,2,877,834,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,5783338
Ayanavaram,2,1,611,328,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,West,3593155
Nanganallur,2,2,980,613,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,North,5340967
Madipakkam,2,2,741,560,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,East,3207974
A Nagar,3,2,1280,2003,Individual,New,New Construction,Builder Floors,0,Unfurnished,Ready to Move,East,23500000
Muglivakkam,2,2,956,100,Individual,New,New Construction,Builder Floors,2,Semi-Furnished,Ready to Move,South,5340967
Chrompet,2,2,860,805,Agent,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,5783338
Saidapet,2,2,1200,733,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Thirumalai Nagar,2,2,1640,1632,Individual,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,18004354
Adyar,3,3,3300,3062,Builder,New,New Construction,Builder Floors,4,Unfurnished,Ready to Move,North,220000000
Tambaram,2,2,1100,825,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,East,5340967
Villivakkam,2,2,500,400,Builder,Resale,Type,Builder Floors,1,Furnished,Ready to Move,North,3033039
Mahindra City,3,2,150,150,Agent,New,10 to 15 years,Builder Floors,1,Semi-Furnished,Under Construction,North West,2600000
Ambattur,2,2,956,834,Individual,Resale,5 to 10 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5340967
Pallikaranai,2,2,1100,900,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,5340967
Valasaravakkam,2,2,726,2594,Builder,Resale,10 to 15 years,Builder Floors,2,Unfurnished,Ready to Move,North,3207974
