location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Madhavaram,2,2,800,775,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,West,4000000
Red Hills,1,2,450,240,Agent,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,West,2700000
Egmore,2,1,475,4526,Agent,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,7001500
Mylapore,4,5,1400,400,Individual,New,0 to 5 years,House & Villas,1,Furnished,Ready to Move,East,35000000
Thiruporur,2,2,600,5400,Individual,New,Under Construction,House & Villas,0,Unfurnished,Ready to Move,South,2400000
Poonamallee,1,2,550,400,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,2101000
Perambur,2,2,650,1200,Agent,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,North,4192500
Manimangalam,3,3,1250,1162,Agent,Resale,Under Construction,Builder Floors,0,Unfurnished,Ready to Move,South East,6500000
Old Washermenpet,2,2,1886,400,Builder,New,New Construction,Farm House,2,Furnished,Ready to Move,East,25000816
Gerugambakkam,3,3,1630,523,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Under Construction,East,9991900
Avadi,2,2,739,1050,Builder,New,Under Construction,Farm House,2,Furnished,Under Construction,North,2600000
Urapakkam,2,2,1054,468,Individual,New,5 to 10 years,House & Villas,1,Furnished,Ready to Move,North,6324
Kolapakkam,3,3,1769,970,Individual,Resale,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,17000000
Valasaravakkam,2,1,880,824,Individual,New,New Construction,Farm House,1,Semi-Furnished,Ready to Move,North,4699200
Kelambakkam,4,4,4000,1597,Individual,Resale,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,East,14000000
Omr,2,2,822,542,Builder,New,New Construction,House & Villas,1,Furnished,Under Construction,North East,2219400
Santhosapuram,3,3,1300,1330,Individual,Resale,New Construction,House & Villas,0,Furnished,Ready to Move,North West,7150000
Kelambakkam,3,3,1176,1200,Individual,Resale,5 to 10 years,House & Villas,1,Furnished,Ready to Move,North East,3998400
Adhanoor,2,2,926,775,Builder,New,0 to 5 years,House & Villas,0,Furnished,Under Construction,South,4000320
Potheri,3,3,1373,191664,Individual,Resale,New Construction,Farm House,0,Semi-Furnished,Ready to Move,East,5500000
Guduvancheri,2,2,800,592,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,3850000
Kandanchavadi,3,3,4735,700,Individual,Resale,Under Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,40010750
Thiruvotriyur,3,2,1050,700,Individual,New,New Construction,House & Villas,0,Furnished,Under Construction,North East,4987500
Santhome,3,3,1600,1200,Individual,Resale,Above 20 years,House & Villas,0,Semi-Furnished,Ready to Move,West,24000000
Vandalur,2,2,707,700,Individual,Resale,15 to 20 years,House & Villas,0,Unfurnished,Ready to Move,East,2400265
Perubakkam,1,1,10600,970,Individual,Resale,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,1303800
Anakaputhur,1,1,660,800,Individual,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,3432000
Vengaivasal,3,3,1450,850,Individual,Resale,10 to 15 years,Builder Floors,1,Unfurnished,Ready to Move,West,11500000
Villivakkam Baba Nagar,3,2,1096,430,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,5918400
Nungambakkam,3,4,2056,15200,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,47767048
Poonamallee,2,2,975,1536,Individual,Resale,5 to 10 years,Builder Floors,2,Semi-Furnished,Ready to Move,South,6900000
Kundrathur,2,2,850,2400,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South East,23800
Kundrathur,2,2,800,100,Individual,New,0 to 5 years,House & Villas,0,Furnished,Ready to Move,East,2800000
Besant Nagar,5,5,2700,3000,Individual,Resale,New Construction,House & Villas,1,Furnished,Ready to Move,North,30002400
Kandigai,2,2,650,820,Individual,Resale,15 to 20 years,House & Villas,1,Semi-Furnished,Ready to Move,South,910000
Anna Nagar,5,4,3200,680,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,64992000
Thirumullaivoyal Manikanda Puram,5,3,2200,740,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,10208000
Muglivakkam,3,3,1370,550,Builder,New,New Construction,House & Villas,0,Furnished,Under Construction,North East,8000800
Mathur,2,2,858,736,Individual,New,New Construction,House & Villas,2,Unfurnished,Ready to Move,North,4204200
Omr,1,1,12825,733,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,7695000
Omr,2,2,800,2869,Individual,New,New Construction,Builder Floors,1,Furnished,Ready to Move,East,7272000
Peravallur,2,2,874,592,Individual,Resale,15 to 20 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,5300000
Kundrathur,2,2,865,759,Individual,New,New Construction,Builder Floors,2,Furnished,Ready to Move,North,4000000
Chennai Alapakkam,3,3,2000,810,Individual,New,Under Construction,House & Villas,-1,Semi-Furnished,Under Construction,North,13500000
Perungudi,3,3,1650,500,Agent,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,8794500
Puliyanthope,2,2,250,2048,Individual,Resale,5 to 10 years,Builder Floors,2,Unfurnished,Ready to Move,South,2300000
Senneer Kuppam,0,1,600,700,Individual,Resale,Under Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,2202000
Anna Nagar West,2,1,700,2594,Individual,Resale,10 to 15 years,Builder Floors,2,Unfurnished,Ready to Move,North,400000
Omr,2,3,800,900,Builder,New,0 to 5 years,House & Villas,1,Furnished,Ready to Move,South,4000000
Selaiyur,3,3,1600,700,Individual,New,0 to 5 years,House & Villas,2,Semi-Furnished,Under Construction,North,8448000
Egmore,0,1,600,418537,Individual,New,New Construction,House & Villas,0,Furnished,Under Construction,South,3648000
Guduvancheri,2,2,842,875,Builder,New,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,East,4000342
Sholinganallur,1,1,444,600,Agent,New,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,1700520
Kolathur,2,2,1039,800,Agent,Resale,0 to 5 years,House & Villas,13,Unfurnished,Ready to Move,South,7273000
Ayappakkam,2,1,775,200,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,3177500
Mahalingapuram,3,4,3500,800,Individual,Resale,New Construction,Builder Floors,2,Unfurnished,Ready to Move,North,14423500
Nanganallur,3,2,1196,780,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,9000000
Kodambakkam Rangarajapuram,2,1,550,960,Agent,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,5852000
Sunguvachatram,1,1,430,300,Individual,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,North,1200130
Omr,1,1,580,880,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,3300200
Kandigai,3,3,1473,1000,Individual,New,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,North,98691
Thiruninravur,2,2,650,1244,Individual,New,0 to 5 years,Farm House,0,Semi-Furnished,Ready to Move,South East,2600000
Tiruvottiyur Kaladipet,8,7,2048,7680,Individual,New,0 to 5 years,Farm House,4,Semi-Furnished,Ready to Move,South East,17553408
Sholinganallur,2,2,1063,880,Builder,New,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,South,6600000
Kilpauk,3,3,1150,671,Builder,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,11243550
Chengalpattu,2,2,900,1188,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,3897000
Madipakkam,1,1,490,547,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,West,2450
Guduvancheri,2,2,720,1050,Individual,Resale,5 to 10 years,Builder Floors,1,Semi-Furnished,Ready to Move,North,3196800
Thaiyur,2,1,699,1200,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,4200000
Poonamallee,2,3,705,3613,Individual,New,5 to 10 years,Farm House,2,Unfurnished,Ready to Move,North,3200700
Ecr To Marakanam Road,2,2,1168,500,Individual,Resale,Above 20 years,Builder Floors,3,Semi-Furnished,Ready to Move,North,1354880
Pallavaram,2,2,1122,1302,Individual,Resale,Under Construction,House & Villas,-1,Unfurnished,Under Construction,North,8897460
Arani,2,2,2200,840,Builder,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,484000
Kilpauk,3,3,1350,1800,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,13198950
Virugambakkam,2,2,1044,746,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,North East,6994800
Jawaharlal Nehru Salai,3,3,1758,200,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,8788242
Manapakkam,4,4,2321,2000,Individual,Resale,10 to 15 years,House & Villas,2,Semi-Furnished,Ready to Move,North,13902790
Ponmar,2,2,700,800,Builder,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,South,3101000
T Nagar,3,3,1860,950,Individual,Resale,Above 20 years,House & Villas,0,Semi-Furnished,Ready to Move,West,32494200
Madipakkam,1,1,687,650,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North East,3496830
Tamil Nadu,1,1,608,1100,Builder,New,0 to 5 years,Builder Floors,1,Unfurnished,Upcoming,East,3000000
Ayanambakkam,1,1,1391,200,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,5564000
Chennai Trichy highway,2,1,1200,640,Individual,Resale,New Construction,House & Villas,0,Unfurnished,Ready to Move,North,348000
Medavakkam,2,2,1010,250,Builder,Resale,0 to 5 years,Farm House,1,Unfurnished,Ready to Move,East,5858000
Thiruporur,2,2,750,600,Individual,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,South,2900250
Anna Nagar West,3,2,1215,542,Builder,New,New Construction,House & Villas,1,Furnished,Under Construction,North East,16402500
Navalur,2,2,1000,1114,Individual,New,10 to 15 years,House & Villas,0,Furnished,Ready to Move,East,4000000
Porur,2,2,780,424,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,3900000
Guindy,6,6,10000,1240,Individual,Resale,5 to 10 years,House & Villas,3,Unfurnished,Ready to Move,South,333300000
T Nagar,3,3,1700,1349,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,26000000
Madipakkam,2,2,1055,1044,Individual,New,0 to 5 years,House & Villas,-1,Furnished,Ready to Move,East,5064000
padappai,1,1,375,800,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,South,875000
Korattur,5,6,15200,1642,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,129960000
Veppampattu,2,2,841,1070,Individual,Resale,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North East,3027600
Perubakkam,2,2,988,808,Agent,Resale,Above 20 years,House & Villas,2,Unfurnished,Under Construction,South,4495400
Arumbakkam,3,3,1500,850,Individual,Resale,10 to 15 years,House & Villas,-1,Furnished,Ready to Move,East,18000000
Pattabiram Modern City,1,2,1000,81500,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,8400000
Pallikaranai,2,3,1250,590,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,South,6400000
Anna Nagar West,3,3,1268,650,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,10144
Kanathur,2,2,1256,700,Builder,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,South,5501280
Poonamallee,3,2,500,2003,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,South,3400000
Pozhichalur Agastheeswarar Nagar,2,2,707,100,Individual,New,New Construction,Farm House,0,Unfurnished,Ready to Move,East,543683
Nallambakkam,3,2,997,10800,Individual,New,Type,Farm House,1,Semi-Furnished,Under Construction,East,2950123
Potheri,3,2,1105,1232,Individual,Resale,0 to 5 years,House & Villas,2,Furnished,Ready to Move,East,3315
Kolathur Sarojini Nagar,3,4,2900,800,Agent,Resale,0 to 5 years,House & Villas,13,Unfurnished,Ready to Move,South,26999000
Ramapuram Venkateshwara Nagar,9,9,5300,1175,Individual,New,0 to 5 years,Builder Floors,2,Furnished,Ready to Move,North,25000000
Ayappakkam,2,3,1000,1700,Agent,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,North,8500000
Around Chennai,3,3,3012,1500,Individual,New,5 to 10 years,House & Villas,13,Semi-Furnished,Under Construction,East,29999520
Urapakkam,2,2,902,100,Individual,New,0 to 5 years,House & Villas,1,Semi-Furnished,Under Construction,East,3200296
Ayanavaram,2,2,780,750,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Under Construction,North East,5304000
Choolaimedu,3,2,1200,827,Individual,New,Type,House & Villas,2,Semi-Furnished,Under Construction,East,8700000
Tambaram Mudichur Road,2,2,1005,993,Individual,Resale,New Construction,House & Villas,0,Furnished,Ready to Move,North East,3497400
Valasaravakkam,2,2,1110,633,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,6771000
Mahindra City,2,2,1052,1536,Individual,Resale,5 to 10 years,Builder Floors,2,Semi-Furnished,Ready to Move,South,5300000
West Mambalam,2,2,960,2869,Individual,New,New Construction,Builder Floors,1,Furnished,Ready to Move,North,12500000
Madambakkam,3,3,1500,950,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,7000500
Pallikaranai,3,3,1944,750,Builder,New,New Construction,House & Villas,-1,Unfurnished,Under Construction,North East,10206000
Ambattur,3,3,1254,500,Individual,New,Type,House & Villas,0,Unfurnished,Under Construction,North,7699560
West Mambalam,3,2,1350,1200,Individual,New,5 to 10 years,House & Villas,0,Furnished,Ready to Move,East,11002500
Gerugambakkam,3,3,1202,513,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,North East,6298480
Perumanttunallur,2,2,900,1632,Individual,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,4090500
Poonamallee,1,1,600,600,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,1800
Maraimalai Nagar,2,2,700,500,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,2700000
Maraimalainagar,2,2,970,800,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,3986700
Tambaram Mudichur Road,1,1,600,800,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,2700000
Lakshmi Nagar,0,1,1200,1018,Individual,New,10 to 15 years,Builder Floors,2,Unfurnished,Ready to Move,South,1836000
Tambaram Mudichur Road,2,2,750,515,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Under Construction,North,3502500
West Tambaram,2,1,590,592,Individual,Resale,0 to 5 years,Builder Floors,2,Furnished,Ready to Move,South,3100000
Besant Nagar,4,4,3300,1500,Agent,Resale,10 to 15 years,House & Villas,-1,Semi-Furnished,Ready to Move,South,48312000
Anna Nagar,2,2,700,1495,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,North,5502000
Ambattur,1,1,451,490,Individual,New,Under Construction,House & Villas,2,Furnished,Ready to Move,North,1997930
Kandigai,1,2,2500,1286,Individual,Resale,0 to 5 years,Builder Floors,0,Unfurnished,Ready to Move,South East,1900000
Arumbakkam Subbarao Nagar,2,2,850,1200,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,7500000
Pallikaranai,3,3,1500,878,Individual,New,Type,House & Villas,0,Unfurnished,Under Construction,North,7515000
Anakaputhur,2,2,966,468,Individual,Resale,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,4685100
Thiruvanmiyur,4,4,2710,2869,Individual,New,New Construction,Builder Floors,1,Furnished,Ready to Move,North,44715000
Tamil Nadu,2,2,800,800,Individual,New,0 to 5 years,Builder Floors,0,Semi-Furnished,Under Construction,North,4900000
Kilpauk,3,3,1350,1400,Builder,New,0 to 5 years,House & Villas,2,Unfurnished,Under Construction,East,13198950
Veppampattu,2,2,999,750,Individual,Resale,15 to 20 years,Builder Floors,1,Unfurnished,Ready to Move,East,3900000
Ambattur Atthipattu,2,2,875,730,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,North,4900000
West Mambalam,2,2,960,800,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,North,12500000
Thiruneermalai Main Road,3,2,972,650,Builder,New,New Construction,Farm House,1,Furnished,Ready to Move,East,4500360
Kovur,2,3,3168,800,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,3801600
Guduvancheri,1,1,1382,399,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,2800000
Zameen Pallavaram,2,2,1071,400,Builder,New,New Construction,Farm House,-1,Unfurnished,Under Construction,North,12497499
Kosapet,9,9,8645,1175,Individual,Resale,5 to 10 years,Builder Floors,2,Furnished,Ready to Move,North,42500000
Potheri,2,2,600,592,Individual,Resale,15 to 20 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,3900000
neelankarai,10,10,8214,500,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Under Construction,South,59962200
Valasaravakkam,1,1,457,1350,Individual,Resale,10 to 15 years,House & Villas,3,Semi-Furnished,Ready to Move,East,1293310
East Tambaram,0,4,2600,185,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,8996000
Vinayagapuram,2,2,1450,1800,Individual,Resale,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,6800500
Chettipunniyam,2,2,900,389,Others,New,New Construction,Builder Floors,0,Unfurnished,Ready to Move,East,4000000
Iyyappanthangal,3,2,1085,4000,Builder,New,5 to 10 years,House & Villas,2,Unfurnished,Ready to Move,North,5294800
New Perungalathur,3,2,1375,3484,Agent,Resale,5 to 10 years,House & Villas,0,Unfurnished,Ready to Move,South,7796250
Saligramam,2,2,910,842,Builder,New,New Construction,House & Villas,0,Furnished,Ready to Move,East,7735000
Thirumullaivoyal,2,2,900,660,Builder,New,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,East,3996000
Sembakkam,3,2,1254,1180,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,North,6997320
Chengalpattu,2,3,1020,720,Individual,New,New Construction,House & Villas,0,Unfurnished,Under Construction,North East,3396600
Kattupakkam,3,3,1500,618,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,North,12000000
Veppampet,2,2,1080,8611,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,North West,2494800
Nemilichery,2,2,1300,250,Builder,Resale,15 to 20 years,Farm House,1,Unfurnished,Ready to Move,North,4500600
Gerugambakkam,3,3,1202,784,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,South,6611000
Chitlapakkam,4,4,4200,400,Individual,New,New Construction,House & Villas,0,Furnished,Under Construction,South,15846600
Kolathur Chittibabu nagar,3,2,1750,1000,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,North,16415000
Thandalam Irandam Kattalai,2,2,849,43560,Individual,New,10 to 15 years,Farm House,1,Semi-Furnished,Ready to Move,North,4295940
Perungalathur,2,2,859,1136,Agent,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,East,3796780
Muttukadu,3,3,2290,646,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,10000000
Tamil Nadu,2,2,946,805,Individual,New,New Construction,Builder Floors,2,Unfurnished,Ready to Move,East,100000
Ayappakkam,1,1,450,190,Individual,Resale,New Construction,Builder Floors,0,Unfurnished,Ready to Move,North,1651500
Madipakkam Kuberan Nagar,2,2,865,590,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,South,3953050
Villivakkam Sidco Nagar,1,1,400,1200,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,7500000
Kelambakkam Vandalur Highway,2,2,800,500,Builder,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,2704000
Keelkattalai,2,2,30500,640,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,South,930250000
Guduvancheri,2,2,880,829,Individual,New,New Construction,Farm House,0,Unfurnished,Ready to Move,West,41360
Avadi,2,2,580,1000,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,South,3300200
Adambakkam Bala Krishna Puram,2,2,818,1041,Builder,New,Under Construction,Builder Floors,2,Unfurnished,Ready to Move,North,3000000
Vengal,0,1,10000,880,Builder,Resale,New Construction,Builder Floors,2,Semi-Furnished,Ready to Move,North,2250000
Ambattur,2,2,734,1500,Individual,New,5 to 10 years,House & Villas,13,Semi-Furnished,Under Construction,East,3743400
Kallikuppam,3,3,1245,39911,Others,New,New Construction,Builder Floors,0,Semi-Furnished,Ready to Move,East,7800000
Korattur,3,2,1000,9900,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,4500000
Karapakkam,3,3,1450,1125,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,7200000
Pammal,2,2,850,670,Individual,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,North,3825000
Velachery,2,2,640,1625,Individual,Resale,5 to 10 years,House & Villas,13,Semi-Furnished,Ready to Move,South,659200
Kavanur,3,3,1276,9069,Individual,New,New Construction,Farm House,0,Unfurnished,Ready to Move,East,5805800
Kovalam,3,4,2295,81500,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,9500000
Paraniputhur,4,4,2600,31069,Others,New,New Construction,Farm House,0,Semi-Furnished,Ready to Move,East,8502000
Gerugambakkam,2,2,1100,100,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,North,8195000
Poonamale High Road,3,2,1450,2388,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,10005000
Arumbakkam,3,3,1230,830,Individual,New,New Construction,House & Villas,1,Furnished,Ready to Move,South,9495600
Villivakkam,2,2,775,1253,Individual,New,New Construction,House & Villas,2,Unfurnished,Ready to Move,North,3800600
Porur Lakshmi Nagar Extension,2,2,800,720,Individual,New,New Construction,House & Villas,0,Unfurnished,Under Construction,North East,2664000
Kodungaiyur,2,2,1100,2100,Individual,New,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,East,5500000
Iyyappanthangal,3,2,988,1396,Individual,Resale,5 to 10 years,House & Villas,3,Unfurnished,Ready to Move,South,7904
Perubakkam,2,2,1054,1800,Individual,Resale,Type,House & Villas,0,Unfurnished,Ready to Move,South,4321400
Maraimalainagar,2,2,1100,1042,Individual,New,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5500000
Kolathur Viduthalai Nagar,2,2,911,2594,Builder,Resale,10 to 15 years,Farm House,2,Unfurnished,Ready to Move,North,5903280
Omr,3,3,1450,400,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,5495500
Maraimalai Nagar,1,2,480,720,Individual,New,Above 20 years,House & Villas,2,Semi-Furnished,Ready to Move,North,4200000
Adhanoor,2,2,925,775,Individual,New,0 to 5 years,Farm House,4,Semi-Furnished,Ready to Move,South East,3999700
Kilpauk Garden Colony,2,2,1000,81500,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,8500000
West Tambaram,3,2,1330,2003,Builder,New,New Construction,Builder Floors,2,Unfurnished,Ready to Move,East,9200000
Omr,2,2,958,570,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Under Construction,South,4405842
Ecr To Marakanam Road,2,2,1100,1000,Individual,New,Above 20 years,Farm House,1,Unfurnished,Ready to Move,South,1298000
Veppampattu,2,2,1000,106204,Individual,New,New Construction,Farm House,0,Semi-Furnished,Ready to Move,North East,3410000
Egattur,2,2,1295,3613,Individual,New,5 to 10 years,Farm House,2,Unfurnished,Ready to Move,North,9595950
Ambattur Tiruvenkadam Nagar,3,3,980,880,Builder,New,New Construction,Builder Floors,2,Furnished,Ready to Move,East,5684000
Chrompet,2,1,621,800,Builder,New,New Construction,House & Villas,1,Unfurnished,Under Construction,South East,2502630
Pammal,2,2,824,740,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,3502000
Kelambakkam,2,2,10479,633,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,38772300
Red Hills,1,1,1200,400,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,2004000
Perungudi,1,1,610,682,Individual,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,3600220
Villivakkam Baba Nagar,1,1,600,900,Individual,Resale,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,2298000
Gerugambakkam,2,2,750,1050,Agent,Resale,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,South,2325000
Nanmangalam,2,1,700,550,Builder,New,0 to 5 years,House & Villas,0,Unfurnished,Under Construction,West,2765000
Thiruvanmiyur,4,5,2710,3000,Individual,Resale,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,44444000
Adambakkam Sastri Nagar,8,6,2600,800,Agent,New,0 to 5 years,House & Villas,0,Furnished,Ready to Move,South,20001800
Mogappair West,2,2,1287,1400,Agent,New,New Construction,House & Villas,1,Furnished,Ready to Move,North,4993560
Pattabiram Modern City,1,2,1000,2869,Individual,New,New Construction,Builder Floors,2,Furnished,Ready to Move,North,8400000
Medavakkam Jayachandran Nagar,3,2,1255,1000,Individual,New,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,North,6500900
Korattur,2,2,961,838,Builder,New,0 to 5 years,Builder Floors,0,Unfurnished,Under Construction,West,7200000
Karapakkam,5,6,4441,900,Individual,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,30109980
Omr,2,3,1044,1062,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,8350956
Mangadu Ranganathapuram,2,2,1250,1416,Others,New,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,East,6662500
Villivakkam Agathiyar Nagar,3,2,948,690,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,6800000
Guduvancheri,1,2,743,1400,Individual,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,3298920
Chrompet,3,3,2691,1565,Agent,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,12997530
Poonamallee,1,1,430,971,Individual,New,New Construction,House & Villas,-1,Semi-Furnished,Ready to Move,East,657900
Potheri,3,2,1200,771,Builder,New,New Construction,House & Villas,1,Furnished,Ready to Move,South,5004000
Mudichur,4,5,2300,834,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,12500500
Ambattur,1,1,500,783,Builder,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,2750000
Thirumullaivoyal,3,3,1800,680,Builder,New,Under Construction,House & Villas,-1,Unfurnished,Under Construction,South East,8406000
Maraimalainagar,3,3,1850,2310,Agent,Resale,15 to 20 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,4590000
Gst Road,2,2,655,1135,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,North,250000
Sithalapakkam,2,2,864,950,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,3248640
Jalladianpettai,3,2,1015,5400,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,5998650
Thiruvotriyur,2,2,1054,185,Builder,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,8853600
